franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,notes,image_url,packaged_image_url
Transformers,Transformers: The Headmasters,Headmasters,Takara,1987,Combiners - Techbots (Computicon),Afterburner (C-90),figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-g1-headmasters-combiners-techbots-computicon-afterburner-c-90-/6286/,Japanese G1 companion import from Transformerland; user-facing names kept in romaji/source romanization. Package image from Transformerland item page.,https://www.transformerland.com/image/thumbnails/63447.jpg,https://www.transformerland.com/image/reference_images/0.jpg
Transformers,Transformers: The Headmasters,Headmasters,Takara,1987,Combiners - Techbots (Computicon),Computicon (C-91),figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-g1-headmasters-combiners-techbots-computicon-computicon-c-91-/6292/,Japanese G1 companion import from Transformerland; user-facing names kept in romaji/source romanization.,https://www.transformerland.com/image/thumbnails/63448.jpg,
Transformers,Transformers: The Headmasters,Headmasters,Takara,1987,Combiners - Techbots (Computicon),Lightspeed (C-89),figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-g1-headmasters-combiners-techbots-computicon-lightspeed-c-89-/6280/,Japanese G1 companion import from Transformerland; user-facing names kept in romaji/source romanization.,https://www.transformerland.com/image/thumbnails/63446.jpg,
Transformers,Transformers: The Headmasters,Headmasters,Takara,1987,Headmasters,Nosecone (C-87),figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-g1-headmasters-combiners-techbots-computicon-nosecone-c-87-/6268/,Japanese G1 companion import from Transformerland; user-facing names kept in romaji/source romanization.,https://www.transformerland.com/image/thumbnails/63444.jpg,
Transformers,Transformers: The Headmasters,Headmasters,Takara,1987,Headmasters,Scattershot (C-86),figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-g1-headmasters-combiners-techbots-computicon-scattershot-c-86-/6262/,Japanese G1 companion import from Transformerland; user-facing names kept in romaji/source romanization.,https://www.transformerland.com/image/thumbnails/63443.jpg,
Transformers,Transformers: The Headmasters,Headmasters,Takara,1987,Headmasters,Strafe (C-88),figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-g1-headmasters-combiners-techbots-computicon-strafe-c-88-/6274/,Japanese G1 companion import from Transformerland; user-facing names kept in romaji/source romanization.,https://www.transformerland.com/image/thumbnails/63445.jpg,
Transformers,Transformers: The Headmasters,Headmasters,Takara,1987,Combiners - Terrortrons (Abominus),Abominus (D-84),figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-g1-headmasters-combiners-terrortrons-abominus-abominus-d-84-/6587/,Japanese G1 companion import from Transformerland; user-facing names kept in romaji/source romanization.,https://www.transformerland.com/image/thumbnails/63477.jpg,
Transformers,Transformers: The Headmasters,Headmasters,Takara,1987,Combiners - Terrortrons (Abominus),Butt (D-83),figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-g1-headmasters-combiners-terrortrons-abominus-butt-d-83-/6581/,Japanese G1 companion import from Transformerland; user-facing names kept in romaji/source romanization. Package image from Transformerland item page.,https://www.transformerland.com/image/thumbnails/63476.jpg,https://www.transformerland.com/image/reference_images/6581.jpg
Transformers,Transformers: The Headmasters,Headmasters,Takara,1987,Combiners - Terrortrons (Abominus),Cutthroat (D-82),figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-g1-headmasters-combiners-terrortrons-abominus-cutthroat-d-82-/6575/,Japanese G1 companion import from Transformerland; user-facing names kept in romaji/source romanization. Package image from Transformerland item page.,https://www.transformerland.com/image/thumbnails/63475.jpg,https://www.transformerland.com/image/reference_images/6575.jpg
Transformers,Transformers: The Headmasters,Headmasters,Takara,1987,Headmasters,Hun-Gruu (D-79),figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-g1-headmasters-combiners-terrortrons-abominus-hun-gruu-d-79-/6557/,Japanese G1 companion import from Transformerland; user-facing names kept in romaji/source romanization.,https://www.transformerland.com/image/thumbnails/63472.jpg,
Transformers,Transformers: The Headmasters,Headmasters,Takara,1987,Headmasters,Rippersnapper (D-80),figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-g1-headmasters-combiners-terrortrons-abominus-rippersnapper-d-80-/6563/,Japanese G1 companion import from Transformerland; user-facing names kept in romaji/source romanization. Package image from Transformerland item page.,https://www.transformerland.com/image/thumbnails/63473.jpg,https://www.transformerland.com/image/reference_images/6563.jpg
Transformers,Transformers: The Headmasters,Headmasters,Takara,1987,Headmasters,Sinnertwin (D-81),figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-g1-headmasters-combiners-terrortrons-abominus-sinnertwin-d-81-/6569/,Japanese G1 companion import from Transformerland; user-facing names kept in romaji/source romanization. Package image from Transformerland item page.,https://www.transformerland.com/image/thumbnails/63474.jpg,https://www.transformerland.com/image/reference_images/6569.jpg
Transformers,Transformers: The Headmasters,Headmasters,Takara,1987,Combiners - Trainbots (Raiden),Getsuei (C-126),figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-g1-headmasters-trainbots-trainbots-raiden-getsuei-c-126-/6505/,Japanese G1 companion import from Transformerland; user-facing names kept in romaji/source romanization.,https://www.transformerland.com/image/thumbnails/6512.jpg,
Transformers,Transformers: The Headmasters,Headmasters,Takara,1987,Combiners - Trainbots (Raiden),Kaen (C-130),figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-g1-headmasters-trainbots-trainbots-raiden-kaen-c-130-/6541/,Japanese G1 companion import from Transformerland; user-facing names kept in romaji/source romanization.,https://www.transformerland.com/image/thumbnails/6548.jpg,
Transformers,Transformers: The Headmasters,Headmasters,Takara,1987,Combiners - Trainbots (Raiden),Raiden (C-131),figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-g1-headmasters-trainbots-trainbots-raiden-raiden-c-131-/6550/,Japanese G1 companion import from Transformerland; user-facing names kept in romaji/source romanization.,https://www.transformerland.com/image/thumbnails/6556.jpg,
Transformers,Transformers: The Headmasters,Headmasters,Takara,1987,Headmasters,Seizan (C-129),figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-g1-headmasters-trainbots-trainbots-raiden-seizan-c-129-/6532/,Japanese G1 companion import from Transformerland; user-facing names kept in romaji/source romanization.,https://www.transformerland.com/image/thumbnails/6539.jpg,
Transformers,Transformers: The Headmasters,Headmasters,Takara,1987,Headmasters,Shouki (C-125),figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-g1-headmasters-trainbots-trainbots-raiden-shouki-c-125-/6496/,Japanese G1 companion import from Transformerland; user-facing names kept in romaji/source romanization.,https://www.transformerland.com/image/thumbnails/6503.jpg,
Transformers,Transformers: The Headmasters,Headmasters,Takara,1987,Headmasters,Suiken (C-128),figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-g1-headmasters-trainbots-trainbots-raiden-suiken-c-128-/6523/,Japanese G1 companion import from Transformerland; user-facing names kept in romaji/source romanization.,https://www.transformerland.com/image/thumbnails/6530.jpg,
Transformers,Transformers: The Headmasters,Headmasters,Takara,1987,Headmasters,Yukikaze (C-127),figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-g1-headmasters-trainbots-trainbots-raiden-yukikaze-c-127-/6514/,Japanese G1 companion import from Transformerland; user-facing names kept in romaji/source romanization.,https://www.transformerland.com/image/thumbnails/6521.jpg,
Transformers,Transformers: The Headmasters,Headmasters,Takara,1987,Cassettbots,Amhorn (C-119),figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-g1-headmasters-cassettbots-amhorn-c-119-/84982/,Japanese G1 companion import from Transformerland; user-facing names kept in romaji/source romanization.,https://www.transformerland.com/image/thumbnails/0.jpg,
Transformers,Transformers: The Headmasters,Headmasters,Takara,1987,Cassettbots,Eject (C-117),figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-g1-headmasters-cassettbots-eject-c-117-/84968/,Japanese G1 companion import from Transformerland; user-facing names kept in romaji/source romanization.,https://www.transformerland.com/image/thumbnails/0.jpg,
Transformers,Transformers: The Headmasters,Headmasters,Takara,1987,Headmasters,Rewind (C-118),figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-g1-headmasters-cassettbots-rewind-c-118-/84975/,Japanese G1 companion import from Transformerland; user-facing names kept in romaji/source romanization.,https://www.transformerland.com/image/thumbnails/0.jpg,
