franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,notes,image_url,packaged_image_url
Transformers,Transformers,Generation 1 Europe,Hasbro/Takara,1990,Action Master Elites,Double Punch,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-g1-europe-action-master-elites-double-punch/8734/,Expanded Transformers line import from Transformerland; release year is the line launch year when item-level year is not exposed.,https://www.transformerland.com/image/thumbnails/8738.jpg,
Transformers,Transformers,Generation 1 Europe,Hasbro/Takara,1990,Action Master Elites,Omega Spreem,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-g1-europe-action-master-elites-omega-spreem/8722/,Expanded Transformers line import from Transformerland; release year is the line launch year when item-level year is not exposed.,https://www.transformerland.com/image/thumbnails/8726.jpg,
Transformers,Transformers,Generation 1 Europe,Hasbro/Takara,1990,Generation 1 Europe,Turbo Master,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-g1-europe-action-master-elites-turbo-master/8740/,Expanded Transformers line import from Transformerland; release year is the line launch year when item-level year is not exposed.,https://www.transformerland.com/image/thumbnails/8744.jpg,
Transformers,Transformers,Generation 1 Europe,Hasbro/Takara,1990,Generation 1 Europe,Windmill,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-g1-europe-action-master-elites-windmill/8728/,Expanded Transformers line import from Transformerland; release year is the line launch year when item-level year is not exposed.,https://www.transformerland.com/image/thumbnails/8732.jpg,
Transformers,Transformers,Generation 1 Europe,Hasbro/Takara,1990,Action Master Exo-Suits,4WD All-Terrain Vehicle with Rumbler,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-g1-europe-action-master-exo-suits-4wd-all-terrain-vehicle-with-rumbler/8752/,Expanded Transformers line import from Transformerland; release year is the line launch year when item-level year is not exposed.,https://www.transformerland.com/image/thumbnails/8756.jpg,
Transformers,Transformers,Generation 1 Europe,Hasbro/Takara,1990,Action Master Exo-Suits,4WD Assault Vehicle with Slicer,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-g1-europe-action-master-exo-suits-4wd-assault-vehicle-with-slicer/8758/,Expanded Transformers line import from Transformerland; release year is the line launch year when item-level year is not exposed.,https://www.transformerland.com/image/thumbnails/8762.jpg,
Transformers,Transformers,Generation 1 Europe,Hasbro/Takara,1990,Generation 1 Europe,Solo Mission Jet Plane with Thundercracker,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-g1-europe-action-master-exo-suits-solo-mission-jet-plane-with-thundercracker/8764/,Expanded Transformers line import from Transformerland; release year is the line launch year when item-level year is not exposed.,https://www.transformerland.com/image/thumbnails/8768.jpg,
Transformers,Transformers,Generation 1 Europe,Hasbro/Takara,1990,Generation 1 Europe,Supersonic Racing Car with Circuit,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-g1-europe-action-master-exo-suits-supersonic-racing-car-with-circuit/8746/,Expanded Transformers line import from Transformerland; release year is the line launch year when item-level year is not exposed.,https://www.transformerland.com/image/thumbnails/8750.jpg,
Transformers,Transformers,Generation 1 Europe,Hasbro/Takara,1990,Action Masters,Bombshell with Needler,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-g1-europe-action-masters-bombshell-with-needler/8704/,Expanded Transformers line import from Transformerland; release year is the line launch year when item-level year is not exposed.,https://www.transformerland.com/image/thumbnails/8708.jpg,
Transformers,Transformers,Generation 1 Europe,Hasbro/Takara,1990,Action Masters,Charger with Firebeast,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-g1-europe-action-masters-charger-with-firebeast/17174/,Expanded Transformers line import from Transformerland; release year is the line launch year when item-level year is not exposed.,https://www.transformerland.com/image/thumbnails/17179.jpg,
