franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,notes,image_url,packaged_image_url
Transformers,Transformers,Commemorative Series,Hasbro/Takara,2002,Basic Figures,Battle Armor He-Man,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/masters-of-the-universe-motu-commemorative-series-basic-figures-battle-armor-he-man/99153/,Supplemental expanded Transformers import from Transformerland; release year is the line launch year when item-level year is not exposed.,https://www.transformerland.com/image/thumbnails/0.jpg,
Transformers,Transformers,Commemorative Series,Hasbro/Takara,2002,Basic Figures,Battle Armor Skeletor,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/masters-of-the-universe-motu-commemorative-series-basic-figures-battle-armor-skeletor/99136/,Supplemental expanded Transformers import from Transformerland; release year is the line launch year when item-level year is not exposed.,https://www.transformerland.com/image/thumbnails/0.jpg,
Transformers,Transformers,Commemorative Series,Hasbro/Takara,2002,Commemorative Series,Beast Man,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/masters-of-the-universe-motu-commemorative-series-basic-figures-beast-man/99160/,Supplemental expanded Transformers import from Transformerland; release year is the line launch year when item-level year is not exposed.,https://www.transformerland.com/image/thumbnails/0.jpg,
Transformers,Transformers,Commemorative Series,Hasbro/Takara,2002,Commemorative Series,Buzz Off,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/masters-of-the-universe-motu-commemorative-series-basic-figures-buzz-off/99167/,Supplemental expanded Transformers import from Transformerland; release year is the line launch year when item-level year is not exposed.,https://www.transformerland.com/image/thumbnails/0.jpg,
Transformers,Transformers,Commemorative Series,Hasbro/Takara,2002,Commemorative Series,Clawful,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/masters-of-the-universe-motu-commemorative-series-basic-figures-clawful/99174/,Supplemental expanded Transformers import from Transformerland; release year is the line launch year when item-level year is not exposed.,https://www.transformerland.com/image/thumbnails/0.jpg,
Transformers,Transformers,Commemorative Series,Hasbro/Takara,2002,Commemorative Series,Evil-Lyn,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/masters-of-the-universe-motu-commemorative-series-basic-figures-evil-lyn/99181/,Supplemental expanded Transformers import from Transformerland; release year is the line launch year when item-level year is not exposed.,https://www.transformerland.com/image/thumbnails/0.jpg,
Transformers,Transformers,Commemorative Series,Hasbro/Takara,2002,Commemorative Series,Faker,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/masters-of-the-universe-motu-commemorative-series-basic-figures-faker/99188/,Supplemental expanded Transformers import from Transformerland; release year is the line launch year when item-level year is not exposed.,https://www.transformerland.com/image/thumbnails/0.jpg,
Transformers,Transformers,Commemorative Series,Hasbro/Takara,2002,Commemorative Series,He-Man,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/masters-of-the-universe-motu-commemorative-series-basic-figures-he-man/99195/,Supplemental expanded Transformers import from Transformerland; release year is the line launch year when item-level year is not exposed.,https://www.transformerland.com/image/thumbnails/0.jpg,
Transformers,Transformers,Commemorative Series,Hasbro/Takara,2002,Commemorative Series,Man-At-Arms,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/masters-of-the-universe-motu-commemorative-series-basic-figures-man-at-arms/99228/,Supplemental expanded Transformers import from Transformerland; release year is the line launch year when item-level year is not exposed.,https://www.transformerland.com/image/thumbnails/0.jpg,
Transformers,Transformers,Commemorative Series,Hasbro/Takara,2002,Commemorative Series,Mer-Man,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/masters-of-the-universe-motu-commemorative-series-basic-figures-mer-man/99235/,Supplemental expanded Transformers import from Transformerland; release year is the line launch year when item-level year is not exposed.,https://www.transformerland.com/image/thumbnails/0.jpg,
Transformers,Transformers,Commemorative Series,Hasbro/Takara,2002,Commemorative Series,Skeletor,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/masters-of-the-universe-motu-commemorative-series-basic-figures-skeletor/99252/,Supplemental expanded Transformers import from Transformerland; release year is the line launch year when item-level year is not exposed.,https://www.transformerland.com/image/thumbnails/0.jpg,
Transformers,Transformers,Commemorative Series,Hasbro/Takara,2002,Commemorative Series,Stratos,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/masters-of-the-universe-motu-commemorative-series-basic-figures-stratos/99259/,Supplemental expanded Transformers import from Transformerland; release year is the line launch year when item-level year is not exposed.,https://www.transformerland.com/image/thumbnails/0.jpg,
Transformers,Transformers,Commemorative Series,Hasbro/Takara,2002,Commemorative Series,Teela,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/masters-of-the-universe-motu-commemorative-series-basic-figures-teela/99266/,Supplemental expanded Transformers import from Transformerland; release year is the line launch year when item-level year is not exposed.,https://www.transformerland.com/image/thumbnails/0.jpg,
Transformers,Transformers,Commemorative Series,Hasbro/Takara,2002,Commemorative Series,Trap Jaw,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/masters-of-the-universe-motu-commemorative-series-basic-figures-trap-jaw/99273/,Supplemental expanded Transformers import from Transformerland; release year is the line launch year when item-level year is not exposed.,https://www.transformerland.com/image/thumbnails/0.jpg,
Transformers,Transformers,Commemorative Series,Hasbro/Takara,2002,Commemorative Series,Tri-Klops,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/masters-of-the-universe-motu-commemorative-series-basic-figures-tri-klops/99280/,Supplemental expanded Transformers import from Transformerland; release year is the line launch year when item-level year is not exposed.,https://www.transformerland.com/image/thumbnails/0.jpg,
Transformers,Transformers,Commemorative Series,Hasbro/Takara,2002,Commemorative Series,Zodac,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/masters-of-the-universe-motu-commemorative-series-basic-figures-zodac/99287/,Supplemental expanded Transformers import from Transformerland; release year is the line launch year when item-level year is not exposed.,https://www.transformerland.com/image/thumbnails/0.jpg,
