franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,image_url,packaged_image_url,notes
Voltron,Voltron,Funko Voltron,Funko,2015,Pop! Vinyl Figures,Voltron #70,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=88421&figure=voltron70,https://www.figurerealm.com/galleries/voltronfunko/Voltron-Pop-70-1.jpg,https://www.figurerealm.com/galleries/voltronfunko/Voltron-Pop-70-Front.jpg,Figure Realm checklist id 5955.
Voltron,Voltron,Funko Voltron,Funko,2016,Hikari Sofubi,Aqua Noir Voltron,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=173284&figure=aquanoirvoltron,https://www.figurerealm.com/galleries/voltronfunko/AquaNoirVoltron-HikariSofubi-1.jpg,https://www.figurerealm.com/galleries/voltronfunko/AquaNoirVoltron-HikariSofubi-Front.jpg,Figure Realm checklist id 5955.
Voltron,Voltron,Funko Voltron,Funko,2016,Hikari Sofubi,Classic Voltron,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=173280&figure=classicvoltron,https://www.figurerealm.com/galleries/voltronfunko/ClassicVoltron-HikariSofubi-1.jpg,https://www.figurerealm.com/galleries/voltronfunko/ClassicVoltron-HikariSofubi-Front.jpg,Figure Realm checklist id 5955.
Voltron,Voltron,Funko Voltron,Funko,2016,Hikari Sofubi,Emerald Abyss Voltron,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=173285&figure=emeraldabyssvoltron,https://www.figurerealm.com/galleries/voltronfunko/EmeraldAbyssVoltron-HikariSofubi-1.jpg,https://www.figurerealm.com/galleries/voltronfunko/EmeraldAbyssVoltron-HikariSofubi-Front.jpg,Figure Realm checklist id 5955.
Voltron,Voltron,Funko Voltron,Funko,2016,Hikari Sofubi,Pewter Voltron,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=173283&figure=pewtervoltron,https://www.figurerealm.com/galleries/voltronfunko/PewterVoltron-HikariSofubi-1.jpg,https://www.figurerealm.com/galleries/voltronfunko/PewterVoltron-HikariSofubi-Front.jpg,Figure Realm checklist id 5955.
Voltron,Voltron,Funko Voltron,Funko,2016,Hikari Sofubi,Solar Gold Voltron,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=173281&figure=solargoldvoltron,https://www.figurerealm.com/galleries/voltronfunko/SolarGoldVoltron-HikariSofubi-1.jpg,https://www.figurerealm.com/galleries/voltronfunko/SolarGoldVoltron-HikariSofubi-Front.jpg,Figure Realm checklist id 5955.
Voltron,Voltron,Funko Voltron,Funko,2016,Hikari Sofubi,Vermilion Voltron,vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=173282&figure=vermilionvoltron,https://www.figurerealm.com/galleries/voltronfunko/VermilionVoltron-HikariSofubi-Front.jpg,,Figure Realm checklist id 5955.
Voltron,Voltron,Funko Voltron,Funko,2016,Pop! Vinyl Figures,Voltron (Metallic) #70,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=151615&figure=voltronmetallic70,https://www.figurerealm.com/galleries/voltronfunko/Voltron-Metallic-70-Pop-1.jpg,https://www.figurerealm.com/galleries/voltronfunko/Voltron-Metallic-70-Pop-Front.jpg,Figure Realm checklist id 5955.
Voltron,Voltron,Funko Voltron,Funko,2018,Pop! Vinyl Figures,Allura (Legendary Defender) #472,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=88425&figure=alluralegendarydefender472,https://www.figurerealm.com/galleries/voltronfunko/Allura-Pop-472-1.jpg,https://www.figurerealm.com/galleries/voltronfunko/Allura-Pop-472-Front.jpg,Figure Realm checklist id 5955.
Voltron,Voltron,Funko Voltron,Funko,2018,Pop! Vinyl Figures,Hunk (Legendary Defender) #477,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=88428&figure=hunklegendarydefender477,https://www.figurerealm.com/galleries/voltronfunko/Hunk-Pop-477-1.jpg,https://www.figurerealm.com/galleries/voltronfunko/Hunk-Pop-477-Front.jpg,Figure Realm checklist id 5955.
