franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,notes,image_url,packaged_image_url
X-Men,X-Men,Toy Biz X-Men,Toy Biz,1994,"10"" Deluxe Edition",Apocalypse,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=1627&figure=apocalypse,Figure Realm Toy Biz X-Men checklist import.,https://www.figurerealm.com/galleries/xmen/Apocalypse-10Figures-1.jpg,https://www.figurerealm.com/galleries/xmen/Apocalypse10-Front.jpg
X-Men,X-Men,Toy Biz X-Men,Toy Biz,1995,"10"" Deluxe Edition",Archangel II,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=1628&figure=archangelii,Figure Realm Toy Biz X-Men checklist import.,https://www.figuronomy.com/storage/564/conversions/archangel-ii-front-thumb.jpg,https://www.figurerealm.com/galleries/xmen/ArchangelII10-Front.jpg
X-Men,X-Men,Toy Biz X-Men,Toy Biz,1994,"10"" Deluxe Edition",Beast,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=1629&figure=beast,Figure Realm Toy Biz X-Men checklist import.,https://www.figuronomy.com/storage/835/conversions/beast-front-thumb.jpg,https://www.figurerealm.com/galleries/xmen/Beast10-Front.jpg
X-Men,X-Men,Toy Biz X-Men,Toy Biz,1994,"10"" Deluxe Edition",Bishop,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=1630&figure=bishop,Figure Realm Toy Biz X-Men checklist import.,https://www.figuronomy.com/storage/1244/conversions/bishop-front-thumb.jpg,https://www.figurerealm.com/galleries/xmen/Bishop10-Front.jpg
X-Men,X-Men,Toy Biz X-Men,Toy Biz,1993,"10"" Deluxe Edition",Cyclops,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=1631&figure=cyclops,Figure Realm Toy Biz X-Men checklist import.,https://www.figurerealm.com/galleries/xmen/Cyclops-10Figures-1.jpg,https://www.figurerealm.com/galleries/xmen/Cyclops10-Front.jpg
X-Men,X-Men,Toy Biz X-Men,Toy Biz,1994,"10"" Deluxe Edition",Gambit,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=1632&figure=gambit,Figure Realm Toy Biz X-Men checklist import.,https://www.figurerealm.com/galleries/xmen/Gambit10.jpg,https://www.figurerealm.com/galleries/xmen/Gambit10-Front.jpg
X-Men,X-Men,Toy Biz X-Men,Toy Biz,1994,"10"" Deluxe Edition",Magneto,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=1634&figure=magneto,Figure Realm Toy Biz X-Men checklist import.,https://www.figurerealm.com/galleries/xmen/Magneto-10Figures-1.jpg,https://www.figurerealm.com/galleries/xmen/Magneto10-Front.jpg
X-Men,X-Men,Toy Biz X-Men,Toy Biz,1994,"10"" Deluxe Edition",Mr. Sinister,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=1635&figure=mrsinister,Figure Realm Toy Biz X-Men checklist import.,https://www.figuronomy.com/storage/883/conversions/mr-sinister-front-thumb.jpg,https://www.figurerealm.com/galleries/xmen/MrSinister10-Front.jpg
X-Men,X-Men,Toy Biz X-Men,Toy Biz,1996,"10"" Deluxe Edition",Mystique,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=51918&figure=mystique,Figure Realm Toy Biz X-Men checklist import.,https://www.figuronomy.com/storage/840/conversions/mystique-front-thumb.jpg,https://www.figurerealm.com/galleries/xmen/Mystique-10-Front.jpg
X-Men,X-Men,Toy Biz X-Men,Toy Biz,1994,"10"" Deluxe Edition",Omega Red,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=1636&figure=omegared,Figure Realm Toy Biz X-Men checklist import.,https://www.figuronomy.com/storage/896/conversions/omega-red-front-thumb.jpg,https://www.figurerealm.com/galleries/xmen/OmegaRed10-Front.jpg
